subject,age_group,age,n_pairs,accuracy,auc,precision_within,recall_within,f1_within,tn,fp,fn,tp,mean_score_within,mean_score_across,score_delta_within_minus_across
temple059,adult,20.25753425,66,0.8333333333333334,0.8348765432098766,0.5454545454545454,0.5,0.5217391304347826,49,5,6,6,0.5194311196666153,0.10648725506994096,0.4129438645966743
temple071,adult,27.30684932,66,0.8636363636363636,0.8148148148148149,0.6666666666666666,0.5,0.5714285714285715,51,3,6,6,0.5121253813267964,0.08982645103405483,0.42229893029274157
temple072,adult,19.53150685,66,0.7727272727272727,0.7407407407407407,0.4,0.5,0.4444444444444445,45,9,6,6,0.4866221901395011,0.19733898652015677,0.28928320361934434
temple073,adult,32.16712329,66,0.8181818181818182,0.861111111111111,0.5,0.75,0.6,45,9,3,9,0.7665047909943618,0.15810737272314151,0.6083974182712202
temple074,adult,20.21369863,66,0.7878787878787878,0.7114197530864197,0.4444444444444444,0.6666666666666666,0.5333333333333333,44,10,4,8,0.6029860267064252,0.18430820228766753,0.41867782441875767
temple075,adult,20.36712329,66,0.7121212121212122,0.6234567901234568,0.29411764705882354,0.4166666666666667,0.3448275862068966,42,12,7,5,0.4095738624117498,0.23693124069545066,0.17264262171629915
temple076,adult,21.24931507,66,0.7878787878787878,0.7145061728395061,0.42857142857142855,0.5,0.4615384615384615,46,8,6,6,0.5012571858509269,0.17769991177613387,0.32355727407479307
temple087,adult,23.23013699,66,0.7272727272727273,0.7067901234567902,0.25,0.25,0.25,45,9,9,3,0.29244393454848766,0.15851848835461518,0.13392544619387248
temple088,adult,21.84657534,66,0.6818181818181818,0.6219135802469136,0.2,0.25,0.22222222222222224,42,12,9,3,0.318617676685592,0.19584438718779798,0.12277328949779401
temple089,adult,19.3369863,66,0.8484848484848485,0.8179012345679013,0.5833333333333334,0.5833333333333334,0.5833333333333334,49,5,5,7,0.5182752193196893,0.12881425139487943,0.3894609679248099
temple099,adult,19.88493151,66,0.7727272727272727,0.8194444444444444,0.42857142857142855,0.75,0.5454545454545454,42,12,3,9,0.7266658707905248,0.2125179487064088,0.514147922084116
temple105,adult,18.55890411,66,0.7121212121212122,0.6265432098765432,0.26666666666666666,0.3333333333333333,0.2962962962962963,43,11,8,4,0.32906684271366543,0.20365796442312722,0.1254088782905382
temple106,adult,20.19178082,66,0.7727272727272727,0.7222222222222222,0.36363636363636365,0.3333333333333333,0.34782608695652173,47,7,8,4,0.4046064387399304,0.1521245046908752,0.25248193404905517
temple108,adult,18.93150685,66,0.8333333333333334,0.7777777777777778,0.5555555555555556,0.4166666666666667,0.4761904761904762,50,4,7,5,0.49394146291793967,0.11468712164777137,0.3792543412701683
temple119,adult,22.16438356,66,0.696969696969697,0.6311728395061729,0.2777777777777778,0.4166666666666667,0.33333333333333337,41,13,7,5,0.44563047194880884,0.2547119186091367,0.19091855333967211
temple120,adult,20.65479452,66,0.7727272727272727,0.7901234567901234,0.38461538461538464,0.4166666666666667,0.4,46,8,7,5,0.505149130093587,0.13705204962577763,0.3680970804678093
temple123,adult,19.30136986,66,0.7575757575757576,0.7469135802469136,0.3888888888888889,0.5833333333333334,0.4666666666666666,43,11,5,7,0.5563508590205832,0.20710277055940554,0.3492480884611777
temple124,adult,20.35068493,66,0.696969696969697,0.7006172839506173,0.21428571428571427,0.25,0.23076923076923075,43,11,9,3,0.3468769522433978,0.20850581856124661,0.1383711336821512
