8	3	-0.524680
11	10	1.117942
21	5	0.334534
26	3	1.499128
29	4	0.392324
33	2	-0.250384
35	3	0.570834
38	3	0.062393
41	3	-0.234628
44	4	-0.148259
48	4	-0.206585
52	5	-0.344817
57	6	1.539032
63	3	0.753290
66	3	5.253716
69	2	2.158360
71	2	0.310761
73	5	-0.011870
78	4	5.189959
82	2	3.064581
84	4	5.588319
88	3	3.593026
91	5	-0.173159
96	2	-0.156204
98	4	0.082442
102	6	-0.346997
108	3	1.322238
111	3	4.356053
114	2	-0.472867
116	4	1.899693
120	5	-0.315179
125	3	-0.257547
128	3	-0.201711
131	4	0.171036
135	5	0.510703
140	2	0.885053
142	3	0.785860
145	3	0.132740
148	3	-0.042696
151	5	-0.091929
156	4	-0.374479
160	4	0.130647
164	4	1.876332
168	5	0.731969
173	3	-0.182788
176	3	-0.006904
179	4	0.300946
183	4	-0.233156
187	4	-0.346877
191	5	0.004576
196	5	-0.137636
201	4	-0.360136
205	5	-0.275870
210	4	-0.318522
215	4	-0.153872
219	7	-0.388319
226	4	0.141772
230	3	-0.099449
233	5	-0.374898
238	3	-0.416148
241	3	-0.423056
244	4	-0.004576
248	4	-0.267334
252	5	0.806321
257	4	0.066649
261	4	-0.177187
265	5	0.174104
270	3	0.304382
273	5	-0.293672
278	4	-0.209862
282	4	1.962544
286	3	1.040757
