8	3	-0.524403
11	10	-0.455728
21	5	0.736394
26	3	0.481454
29	4	0.156360
33	2	0.056004
35	3	-0.279614
38	3	-0.075207
41	3	-0.435940
44	4	-0.494420
48	4	1.047956
52	5	0.712471
57	6	9.413949
63	3	-0.346066
66	3	-0.149099
69	2	-0.382898
71	2	0.072780
73	5	-0.125394
78	4	1.385439
82	2	-0.434874
84	4	0.006204
88	3	-0.248263
91	5	-0.099328
96	2	26.763038
98	4	-0.500716
102	6	-0.417883
108	3	-0.271937
111	3	-0.089743
114	2	0.832487
116	4	1.256530
120	5	0.000700
125	3	0.145992
128	3	36.919425
131	4	-0.302727
135	5	15.613239
140	2	13.380361
142	3	0.295633
145	3	1.920541
148	3	3.035828
151	5	-0.167766
156	4	-0.005450
160	4	0.494533
164	4	-0.287351
168	5	-0.344035
173	3	0.685169
176	3	-0.352613
179	4	-0.257274
183	4	-0.215628
187	4	0.216151
191	5	1.133568
196	5	0.327784
201	4	0.021293
205	5	-0.296875
210	4	-0.461102
215	4	-0.042640
219	7	-0.403961
226	4	0.527834
230	3	0.107337
233	5	-0.004700
238	3	1.382217
241	3	2.871571
244	4	-0.000700
248	4	88.089097
252	5	-0.411483
257	4	3.181306
261	4	0.222905
265	5	0.318527
270	3	-0.095154
273	5	-0.107152
278	4	1.781059
282	4	-0.043102
286	3	-0.435211
