8	6	6.620084
15	3	22.841338
19	3	8.364449
23	4	-0.014445
28	5	0.864669
33	3	-0.111111
36	5	0.022386
41	5	-0.185007
46	2	2.256609
48	4	0.240157
52	2	2.047952
54	3	1.268464
57	4	-0.177118
61	3	0.897584
64	3	0.684741
67	2	-0.130587
69	3	-0.072521
72	3	-0.028603
75	2	3.610387
77	4	6.125299
81	3	1.485312
84	3	-0.010935
87	4	0.000000
91	3	0.466668
94	3	1.086865
97	4	0.541509
101	2	0.343067
103	5	0.224995
108	4	-0.070446
112	3	-0.131228
115	5	-0.076978
120	4	-0.139317
124	2	-0.116061
126	3	0.112788
129	3	-0.078450
132	3	-0.210926
135	2	0.993584
137	5	-0.179396
142	4	0.613691
146	4	-0.169074
150	3	-0.203934
153	5	-0.214602
158	4	0.022321
162	2	-0.166330
164	4	-0.147470
168	4	-0.213732
172	3	-0.194363
175	5	-0.102660
180	3	1.116597
183	3	1.054921
186	3	0.833670
189	3	-0.207144
192	5	-0.193854
197	3	-0.181252
200	5	-0.178000
205	3	0.765001
208	4	-0.237854
212	3	0.544927
215	3	0.052018
218	4	0.371971
222	7	-0.244305
